tile_id,bm_patch,dmsp_patch,longitude,latitude,date,f_number,correlation,valid_fraction,dmsp_source_key
tile_014,Raw_NL_Data\bm\tile_014.tif,Raw_NL_Data\dmsp\tile_014.tif,41.3374999999115,35.895833333282994,2014-06-10,F15,0.2318299943932782,1.0,F152014/F15201406100011.night.OIS.vis.co.tif
tile_012,Raw_NL_Data\bm\tile_012.tif,Raw_NL_Data\dmsp\tile_012.tif,28.370833333250005,-16.570833333362685,2015-05-05,F15,0.488588892049703,1.0,F152015/F15201505050040.night.OIS.vis.co.tif
tile_027,Raw_NL_Data\bm\tile_027.tif,Raw_NL_Data\dmsp\tile_027.tif,81.7374999998953,36.86249999994927,2015-07-18,F15,0.40167520086144753,1.0,F152015/F15201507182134.night.OIS.vis.co.tif
tile_034,Raw_NL_Data\bm\tile_034.tif,Raw_NL_Data\dmsp\tile_034.tif,-5.62916666673641,13.56249999995859,2014-07-21,F15,0.062153962291797586,1.0,F152014/F15201407210250.night.OIS.vis.co.tif
tile_009,Raw_NL_Data\bm\tile_009.tif,Raw_NL_Data\dmsp\tile_009.tif,112.43749999988307,1.4291666666301097,2015-08-13,F15,0.035371615702615024,0.427436,F152015/F15201508131758.night.OIS.vis.co.tif
tile_007,Raw_NL_Data\bm\tile_007.tif,Raw_NL_Data\dmsp\tile_007.tif,115.90416666654835,56.96249999994124,2014-08-19,F15,0.016703375933833874,0.668544,F152014/F15201408192031.night.OIS.vis.co.tif
tile_019,Raw_NL_Data\bm\tile_019.tif,Raw_NL_Data\dmsp\tile_019.tif,46.837499999909284,47.8958333332782,2015-09-24,F15,0.00899540986165003,0.679036,F152015/F15201509240132.night.OIS.vis.co.tif
tile_015,Raw_NL_Data\bm\tile_015.tif,Raw_NL_Data\dmsp\tile_015.tif,-69.09583333337768,-33.304166666689326,2014-11-09,F15,0.0008043408575258699,0.428474,F152014/F15201411090519.night.OIS.vis.co.tif
tile_021,Raw_NL_Data\bm\tile_021.tif,Raw_NL_Data\dmsp\tile_021.tif,29.537499999916207,-15.770833333363015,2015-10-28,F15,0.07640863397187395,0.992792,F152015/F15201510280050.night.OIS.vis.co.tif
tile_010,Raw_NL_Data\bm\tile_010.tif,Raw_NL_Data\dmsp\tile_010.tif,-97.19583333336645,39.96249999994804,2013-08-21,F15,0.40131769263067313,1.0,F152013/F15201308210946.night.OIS.vis.co.tif
tile_001,Raw_NL_Data\bm\tile_001.tif,Raw_NL_Data\dmsp\tile_001.tif,-72.79583333337621,-42.97083333335213,2013-08-11,F15,0.015094982294340902,1.0,F152013/F15201308110720.night.OIS.vis.co.tif
tile_035,Raw_NL_Data\bm\tile_035.tif,Raw_NL_Data\dmsp\tile_035.tif,114.03749999988241,35.895833333282994,2015-06-17,F15,0.49258596071003574,1.0,F152015/F15201506171943.night.OIS.vis.co.tif
tile_016,Raw_NL_Data\bm\tile_016.tif,Raw_NL_Data\dmsp\tile_016.tif,-40.99583333338893,-8.270833333366014,2014-12-19,F15,0.10534154850708408,1.0,F152014/F15201412190448.night.OIS.vis.co.tif
tile_018,Raw_NL_Data\bm\tile_018.tif,Raw_NL_Data\dmsp\tile_018.tif,46.17083333324288,-22.437500000027015,2013-07-28,F18,0.010801310462734925,0.96413,F182013/F18201307281744.night.OIS.vis.co.tif
tile_029,Raw_NL_Data\bm\tile_029.tif,Raw_NL_Data\dmsp\tile_029.tif,16.23749999992151,9.695833333293464,2014-11-24,F15,0.04914108899160187,1.0,F152014/F15201411240118.night.OIS.vis.co.tif
