Bin,Longitude,Latitude,Population,log(pop+1)
0–1,-72.79583333337621,-42.97083333335213,0,0.0
0–1,-115.32916666669253,70.69583333326908,0,0.0
0–1,-127.96250000002081,61.429166666606115,0,0.0
0–1,-106.46250000002941,63.42916666660531,0,0.0
0–1,151.5041666665341,66.0624999999376,0,0.0
0–1,104.80416666655276,55.82916666660836,0,0.0
0–1,115.90416666654835,56.96249999994124,0,0.0
0–1,-58.52916666671524,52.32916666660975,0,0.0
0–1,112.43749999988307,1.4291666666301097,0,0.0
0–1,-97.19583333336645,39.96249999994804,0,0.0
1–2,28.30416666658337,-29.537500000024167,5,1.791759469228055
1–2,28.370833333250005,-16.570833333362685,3,1.3862943611198906
1–2,19.704166666586815,-2.7041666667015676,2,1.0986122886681098
1–2,41.3374999999115,35.895833333282994,6,1.9459101490553132
1–2,-69.09583333337768,-33.304166666689326,3,1.3862943611198906
1–2,-40.99583333338893,-8.270833333366014,3,1.3862943611198906
1–2,22.437499999919055,54.62916666660884,5,1.791759469228055
1–2,46.17083333324288,-22.437500000027015,6,1.9459101490553132
1–2,46.837499999909284,47.8958333332782,3,1.3862943611198906
1–2,13.204166666589401,14.395833333291591,4,1.6094379124341003
2–3,29.537499999916207,-15.770833333363015,11,2.4849066497880004
2–3,31.20416666658221,-11.337500000031454,15,2.772588722239781
2–3,-37.96250000005679,-4.8041666667007235,8,2.1972245773362196
2–3,19.60416666658685,50.562499999943796,11,2.4849066497880004
2–3,-9.662500000068121,10.395833333293197,8,2.1972245773362196
2–3,50.537499999907794,55.82916666660836,13,2.6390573296152584
2–3,81.7374999998953,36.86249999994927,7,2.0794415416798357
2–3,37.27083333324646,50.662499999943755,14,2.70805020110221
2–3,16.23749999992151,9.695833333293464,17,2.8903717578961645
2–3,14.904166666588736,59.5624999999402,19,2.995732273553991
3–4,-52.06250000005116,-28.404166666691296,24,3.2188758248682006
3–4,81.20416666656223,17.462499999957032,21,3.091042453358316
3–4,-4.429166666736876,38.66249999994855,49,3.912023005428146
